Preoxidant dose (mg/L),Preoxidation time (h),Disinfectant dose (mg/L),Disinfectant/DOC,Total residual chlorine (mg/L),Reaction time (h),Temperature (C),pH,Buffer concentration (mM),Bromide concentration (ug/L),DOC (mg/L),UV254 (cm-1),SUVA254,Ammonia (mg-N/L),Nitrate (mg-N/L),Nitrite (mg-N/L),DON (mg/L),DON/DOC,Preoxidant,Disinfectant,Quenching agent,Buffer,Water source,DIN,DCAN
0.0,0.0,42.0,3.684210526,13.5,168.0,25.0,7.0,20.0,124.8012099,11.4,0.16188,1.42,0.12,13.18294919,0.161454286,3.472466214,0.278930051,4,1,2,2,3,13.464403476,1.6
0.0,0.0,12.0,3.0,3.312041298,174.0,25.0,7.2,10.0,0.0,4.0,0.1132,2.83,0.224098667,6.8866,0.142248794,0.24,0.06,4,0,2,4,2,7.252947461,2.716136108
0.0,0.0,19.7616033,2.593755996,4.0,168.0,20.0,7.0,1.0,623.1468214,7.618913782,0.292563926,3.839968988,3.71506,38.8846383,0.277513474,0.875888605,0.160361926,4,1,5,4,2,42.877211774,46.92151305
0.0,0.0,8.0,1.6,3.866069671,168.0,22.0,7.5,2.0,0.0,5.0,0.2,4.0,0.0,0.0,0.0,0.104821803,0.020964361,4,0,7,4,2,0.0,2.77962704
0.0,0.0,20.0,6.451612903,4.924961003,2.0,25.0,7.0,2.0,1016.0,3.1,0.0434,1.4,1.134324921,4.718246099,0.204431814,0.34,0.109677419,4,1,7,4,1,6.057002834,0.742690031
2.2,0.031818182,24.05606987,4.267142025,4.385580099,72.0,20.0,7.0,5.0,201.2,4.0,0.24,6.0,0.88817,34.1062022,0.282635871,0.412475491,0.107594586,5,1,5,4,1,35.277008071,7.764339164
0.0,0.0,8.256913247,3.899924669,4.0,168.0,20.0,7.0,1.0,167.32758,2.117198138,0.081454239,3.847265745,0.16663,13.7630522,0.142796142,0.226686777,0.073443636,4,1,5,4,2,14.072478342,1.233033075
0.0,0.0,10.0,2.127659574,5.330721794,5.0,22.0,6.9,10.0,830.0,4.7,0.0958,2.0,0.04,0.0,0.0,0.3,0.063829787,4,1,2,4,3,0.04,4.255453232
0.0,0.0,10.0,4.050222762,4.625788194,72.0,20.0,7.8,10.0,620.0,2.469,0.053141028,2.286142711,0.037,0.713,0.007,0.16,0.064803564,4,1,0,4,1,0.757,14.10508551
0.0,0.0,250.0,83.05647841,15.1,168.0,25.0,7.0,20.0,64.89648375,3.01,0.047859,1.59,1.421005,7.265183468,0.28754,2.701505,0.374238919,4,0,2,2,1,8.973728468000001,1.833333333
0.0,0.0,5.0,0.664893617,5.862338207,0.5,23.065,7.381888889,61.355,422.4998778,7.52,0.384851444,3.564898467,7.17,25.6492461,0.498199673,0.25,0.284927669,4,1,7,4,3,33.317445773,0.274480403
0.0,0.0,7.0,2.325581395,3.7,168.0,25.0,7.0,20.0,125.1102567,3.01,0.047859,1.59,0.19562,9.820780251,0.196249766,0.38927437,0.115231103,4,1,2,2,1,10.212650017,1.9
0.0,0.0,1.95,1.5,3.117240209,24.0,20.0,8.0,2.0,9.0,1.3,0.017,1.307692308,0.0,0.63,0.006,0.28,0.215384615,4,1,0,4,1,0.636,1.939431661
0.0,0.0,250.0,83.33333333,15.3,168.0,25.0,7.0,20.0,62.65094209,3.0,0.0291,0.97,1.515045,5.320029567,0.236142199,2.61793,0.368658865,4,0,2,2,1,7.071216765999999,1.9
0.0,0.0,8.0,4.0,3.192348549,72.0,21.0,7.0,28.0,97.98481268,2.0,0.045948265,1.920138114,0.09513,4.635518459,0.221508144,0.2,0.1,4,0,2,4,0,4.952156603000001,0.47
0.0,0.0,73.59753064,8.864131218,1.0,24.0,20.0,8.0,1000.0,0.0,2.0,0.102,5.1,0.0,0.0,0.0,0.08,0.04,4,1,2,3,2,0.0,0.32
0.0,0.0,10.0,5.076142132,6.6,168.0,25.0,7.0,20.0,64.62445947,1.97,0.050038,2.54,0.0,7.436911953,0.220394397,0.341919863,0.12589611,4,1,2,2,2,7.65730635,0.4
0.0,0.0,12.0,3.0,4.863611186,168.0,25.0,7.2,10.0,0.0,4.0,0.0104,0.26,0.43766,6.212040496,0.179256099,0.76,0.19,4,0,2,4,1,6.828956595,0.4
0.0,0.0,272.1666667,11.83333333,32.3299479,48.0,25.0,7.0,32.61,138.3350156,23.0,0.133277645,1.798617929,0.041,0.99,0.019,6.5,0.282608696,4,1,7,4,3,1.0499999999999998,2.70563904
0.0,0.0,5.3,1.0,5.333986965,0.033333333,25.0,8.1,0.0,12900.0,5.3,0.079,1.490566038,0.53241,6.097494397,0.295054606,1.981347615,0.357212547,4,1,3,0,3,6.924959003000001,0.297864501
0.0,0.0,30.33781,3.534526289,10.15613345,24.0,20.0,7.063524892,54.35,248.0,10.34,0.054,0.522243714,0.136,0.2,0.004,0.61,0.058994197,4,1,0,4,1,0.34,4.806458118
0.0,0.0,4.0,1.226993865,1.5,168.0,25.0,7.0,20.0,117.3575662,3.26,0.033904,1.04,0.41818,7.063819045,0.231553695,0.520923824,0.164551845,4,1,2,2,1,7.71355274,3.3
0.0,0.0,9.96622354,4.113211595,3.683482817,72.0,22.0,7.5,10.0,8.0,2.0,0.048,2.4,0.096008247,3.841990766,0.070938354,0.306311458,0.116693243,4,0,2,4,2,4.008937367,0.26276379
0.0,0.0,74.84395418,6.88412854,1.0,24.0,20.0,8.0,1000.0,0.0,3.3,0.143,4.333333333,0.0,1.14,0.0,0.157449034,0.044699106,4,1,2,3,2,1.14,0.32
0.0,0.0,4.0,1.333333333,2.082118493,24.0,20.0,7.0,11.68454545,100.0,3.0,0.0078,0.26,0.3557925,4.42994539,0.182348949,0.466937604,0.148632902,4,1,2,4,0,4.968086839,9.898676507
0.0,0.0,10.0,5.555555556,7.340845673,9.0,25.0,7.95,20.0,105.9237741,1.8,0.04366879,1.952950087,0.36404,4.293252199,0.202516099,0.363118999,0.123928356,4,0,4,4,1,4.859808298000001,0.408749611
3.0,0.083333333,13.82300975,5.605484722,2.589734863,24.0,22.0,7.5,10.0,481.4814815,2.0,0.044,2.2,0.244386429,2.249646099,0.211454394,0.374120068,0.130235767,5,1,2,4,2,2.705486922,0.444365716
0.0,0.0,7.0,2.005730659,3.6,168.0,25.0,7.0,20.0,162.8128627,3.49,0.048511,1.39,0.23083,7.684688549,0.204735865,0.458618571,0.124809823,4,1,2,2,1,8.120254414,1.9
0.0,0.0,115.0,14.59390863,43.9,168.0,25.0,8.3,20.0,657.8636964,7.88,0.200152,2.54,0.0,17.33987805,0.396986219,3.334096193,0.441294,4,0,2,2,2,17.736864268999998,7.3
0.0,0.0,225.0,18.44262295,64.5,168.0,25.0,8.3,20.0,200.0,12.2,0.18788,1.54,0.2,35.42,0.23,4.357410909,0.364330416,4,0,2,2,3,35.85,16.4
